Index,SongName,Artist,Genre,ID,Length,Explicit,PercentRating
34,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic country pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']",0b7qiL1rLbUUpGXczt7p5T,206066,FALSE,40
35,(How To Be A) Millionaire,ABC,"[]",3zC02nmo5OrDDMW3U905AU,215733,FALSE,29
36,(I Can Feel Those Vibrations) This Love Is Real,Jackie Wilson,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",2QM3bCcmAwiuwDvhIispV8,175146,FALSE,26
37,(I Can Feel Your Love) Slipping Away,Barbara Mason,"['classic soul', 'funk', 'motown', 'philly soul', 'quiet storm', 'southern soul']",37kJMIJyTv96Tns8QgsOJn,199626,FALSE,16
38,(I Can't Get No) Satisfaction,The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']",2PzU4IB8Dr6mxV3lHuaG34,222813,FALSE,78
39,(I Can't Help You) I'm Falling Too,Skeeter Davis,"['brill building pop', 'nashville sound']",5MXe6dKcR6iO33GWzVW8cr,165266,FALSE,23
40,(I Could Only) Whisper Your Name,Harry Connick Jr.,"['adult standards', 'contemporary vocal jazz', 'lounge', 'vocal jazz']",68EKUNtzGVapUS30PJDVKs,289970,FALSE,34
41,(I Cried at) Laura's Wedding,Barbara Lynn,"['classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']",1kWnbqS0pNBX9UNFIdBoXw,158213,FALSE,2
42,(I Do The) Shimmy Shimmy,Bobby Freeman,"['doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",2FQcPtw6VJ8t2D8YC6OiCC,157466,FALSE,3
43,(I Don't Care) Only Love Me,Steve Lawrence,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge', 'vocal jazz']",2tve82MQkxXX1WsdxpI4sk,153600,FALSE,13
44,(I Hate) Everything About You,Three Days Grace,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",6rUp7v3l8yC4TKxAAR5Bmx,231480,FALSE,74
45,(I Just) Died In Your Arms,Cutting Crew,"['album rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",0YPXkQthLWrhNGoKTbwCJ8,278626,FALSE,70
46,(I Know I Got) Skillz,Shaquille O'Neal,"['new jersey rap']",0TEQ2QmFXnHCgQvYuvsbp2,263053,FALSE,33
47,(I Know) I'm Losing You,Rare Earth,"['blues rock', 'classic rock', 'motown']",18bZGZU0wZ2lV1SEDoXqqr,215986,FALSE,32
48,(I Know) I'm Losing You,The Temptations,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'memphis soul', 'motown', 'soul']",6y8o4V2R2dSt2ijgL8C72W,149493,FALSE,44
49,(I Never Promised You A) Rose Garden,Martina McBride,"['contemporary country', 'country', 'country dawn', 'country road']",6goA1BGYQSSricr7oV8r8m,195573,FALSE,30
